Name,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA
Loving Hut,"['Fast Food', 'Asian', 'Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",309.0,4.5,$,228.0,"[['""Meat"" substitutes almost too realistic', 'It depends what you get'], ['01/08/2018', '01/07/2018']]",/Restaurant_Review-g274707-d2018619-Reviews-Loving_Hut-Prague_Bohemia.html
Waldstejnska Hospoda,"['International', 'European', 'Czech', 'Central European', 'Vegetarian Friendly']",310.0,4.5,$$ - $$$,54.0,"[['Understated elegance with a delicious food...', 'Lovely place to eat if you stay at waldste...'], ['01/01/2018', '12/06/2017']]",/Restaurant_Review-g274707-d12330856-Reviews-Waldstejnska_Hospoda-Prague_Bohemia.html
Zly Casy.,"['Bar', 'European', 'Pub', 'Czech', 'Central European']",311.0,4.5,$,307.0,"[['Perfect beer pub', 'Eccezionale scelta di birre!!!'], ['12/22/2017', '10/26/2017']]",/Restaurant_Review-g274707-d3598803-Reviews-Zly_Casy-Prague_Bohemia.html
La Casa di Erminio,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",312.0,5.0,$$ - $$$,111.0,"[['Best Italian in Prague', 'Something really special !'], ['12/30/2017', '12/20/2017']]",/Restaurant_Review-g274707-d7178401-Reviews-La_Casa_di_Erminio-Prague_Bohemia.html
U Maliru 1543,"['French', 'Czech', 'Vegetarian Friendly']",313.0,4.5,$$$$,416.0,"[['Fine dining with good food, service and hi...', 'A Delightful Surprise'], ['12/30/2017', '12/21/2017']]",/Restaurant_Review-g274707-d1092053-Reviews-U_Maliru_1543-Prague_Bohemia.html
Le Bouquet,"['Wine Bar', 'Mediterranean', 'European', 'Vegetarian Friendly']",314.0,5.0,$$ - $$$,50.0,"[['Best wine in Prague', 'great concept'], ['12/31/2017', '12/31/2017']]",/Restaurant_Review-g274707-d10193035-Reviews-Le_Bouquet-Prague_Bohemia.html
Restaurace V Cipu,"['Bar', 'European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",315.0,4.0,$,558.0,"[['Great value for money', 'Drinks'], ['12/09/2017', '10/21/2017']]",/Restaurant_Review-g274707-d3837339-Reviews-Restaurace_V_Cipu-Prague_Bohemia.html
Pizzeria La Ventola,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly']",316.0,4.0,$,307.0,"[['Italian food in prague', 'Great food & great value'], ['01/08/2018', '01/03/2018']]",/Restaurant_Review-g274707-d1984862-Reviews-Pizzeria_La_Ventola-Prague_Bohemia.html
Indian Aroma,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",317.0,4.5,$$ - $$$,59.0,"[['Best Service, Best Food, Best Price', 'Mouth watering dishes'], ['01/04/2018', '01/02/2018']]",/Restaurant_Review-g274707-d11852992-Reviews-Indian_Aroma-Prague_Bohemia.html
Casa De Carli Ristorante,"['Mediterranean', 'Italian', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",318.0,4.5,$$ - $$$,308.0,"[['Risotto and white truffles!', 'Best meal we had in Prague'], ['01/03/2018', '10/30/2017']]",/Restaurant_Review-g274707-d3434764-Reviews-Casa_De_Carli_Ristorante-Prague_Bohemia.html
Al Capone,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",319.0,4.0,$$ - $$$,272.0,"[['Yum yum', 'Friendly comfortable place'], ['12/31/2017', '12/17/2017']]",/Restaurant_Review-g274707-d4097505-Reviews-Al_Capone-Prague_Bohemia.html
Oblaca Restaurant,"['European', 'Central European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",320.0,4.0,$$$$,492.0,"[['Delicious food.', 'Amazing night view, very good cuisine, pri...'], ['12/25/2017', '12/24/2017']]",/Restaurant_Review-g274707-d3657537-Reviews-Oblaca_Restaurant-Prague_Bohemia.html
Restaurant Zvonice,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly', 'Vegan Options']",321.0,4.5,$$$$,73.0,"[['Fine cuisine in a historical tower', 'Amazing food and service!'], ['12/24/2017', '11/17/2017']]",/Restaurant_Review-g274707-d10416508-Reviews-Restaurant_Zvonice-Prague_Bohemia.html
Crystal Bar and Restaurant,"['Bar', 'European', 'Central European', 'International', 'Contemporary', 'Pub', 'Fusion', 'Vegetarian Friendly']",322.0,4.5,$$ - $$$,191.0,"[['Service poor, but food excellent', 'Well worth a visit'], ['11/28/2017', '10/25/2017']]",/Restaurant_Review-g274707-d4505584-Reviews-Crystal_Bar_and_Restaurant-Prague_Bohemia.html
Tapas Bar Miro,"['Mediterranean', 'Bar', 'International', 'European', 'Spanish', 'Wine Bar', 'Vegetarian Friendly']",323.0,4.5,$$ - $$$,180.0,"[['Best restaurant we visited in Prague', 'Great Tapas, friendly service'], ['12/27/2017', '12/01/2017']]",/Restaurant_Review-g274707-d7079304-Reviews-Tapas_Bar_Miro-Prague_Bohemia.html
Myslikova Restaurant,"['Bar', 'European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",324.0,4.5,$$ - $$$,136.0,"[['Thoroughly recommend', 'Lovely Christmas office afterparty'], ['01/06/2018', '01/02/2018']]",/Restaurant_Review-g274707-d9718157-Reviews-Myslikova_Restaurant-Prague_Bohemia.html
OIiva by Amandine Restaurant,"['Italian', 'European', 'Central European', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",325.0,4.5,$$ - $$$,251.0,"[['Best we had in Prague', 'A little gem'], ['12/08/2017', '09/24/2017']]",/Restaurant_Review-g274707-d694850-Reviews-OIiva_by_Amandine_Restaurant-Prague_Bohemia.html
Gao Den,"['Asian', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options']",326.0,4.5,$$ - $$$,113.0,"[['Lovely place with good food', 'Surprising'], ['12/17/2017', '11/11/2017']]",/Restaurant_Review-g274707-d7085703-Reviews-Gao_Den-Prague_Bohemia.html
Brasserie Meating Point,"['Bar', 'European', 'Central European', 'International', 'Czech', 'Vegetarian Friendly', 'Gluten Free Options']",327.0,4.0,$$ - $$$,473.0,"[['Would come back again', 'Great appetizers'], ['11/06/2017', '09/02/2017']]",/Restaurant_Review-g274707-d3379531-Reviews-Brasserie_Meating_Point-Prague_Bohemia.html
Banh-mi-ba,"['Fast Food', 'International', 'Asian', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",328.0,4.5,$,244.0,"[['Plenty of tables and good food', 'Heavenly banh-mi'], ['12/28/2017', '12/01/2017']]",/Restaurant_Review-g274707-d8455081-Reviews-Banh_mi_ba-Prague_Bohemia.html
